DATE TIME,flow_cfs,GroupName,Statistic,StatFlag
2000-07-17,95.68160543065562,MCC,0.1,CV
2000-07-18,95.53970786723771,MCC,0.1,CV
2000-07-19,95.23564165991361,MCC,0.1,CV
2000-07-20,95.23564165991361,MCC,0.1,CV
2000-07-21,95.23564165991361,MCC,0.1,CV
2000-07-22,95.23564165991361,MCC,0.1,CV
2000-07-23,95.23564165991361,MCC,0.1,CV
2000-07-24,95.23564165991361,MCC,0.1,CV
2000-07-25,95.23564165991361,MCC,0.1,CV
2000-07-26,95.23564165991361,MCC,0.1,CV
2000-07-27,95.23564165991361,MCC,0.1,CV
2000-07-28,95.23564165991361,MCC,0.1,CV
2000-07-29,95.23564165991361,MCC,0.1,CV
2000-07-30,95.23564165991361,MCC,0.1,CV
2000-07-31,95.23564165991361,MCC,0.1,CV
2000-08-01,95.23564165991361,MCC,0.1,CV
2000-08-02,95.23564165991361,MCC,0.1,CV
2000-08-03,95.23564165991361,MCC,0.1,CV
2000-08-04,95.02295906149638,MCC,0.1,CV
2000-08-05,94.79094168140485,MCC,0.1,CV
2000-08-06,94.79094168140486,MCC,0.1,CV
2000-08-07,91.71742597561426,MCC,0.1,CV
2000-08-08,89.55265662005777,MCC,0.1,CV
2000-08-09,89.55265662005779,MCC,0.1,CV
2000-08-10,89.55265662005777,MCC,0.1,CV
2000-08-11,89.55265662005777,MCC,0.1,CV
2000-08-12,89.55265662005779,MCC,0.1,CV
2000-08-13,89.55265662005779,MCC,0.1,CV
2000-08-14,89.55265662005779,MCC,0.1,CV
2000-08-15,89.55265662005779,MCC,0.1,CV
2000-08-16,89.55265662005779,MCC,0.1,CV
2000-08-17,89.55265662005779,MCC,0.1,CV
2000-08-18,89.55265662005779,MCC,0.1,CV
2000-08-19,89.55265662005777,MCC,0.1,CV
2000-08-20,89.55265662005777,MCC,0.1,CV
2000-08-21,89.55265662005777,MCC,0.1,CV
2000-08-22,89.55265662005779,MCC,0.1,CV
2000-08-23,89.55265662005777,MCC,0.1,CV
2000-08-24,89.55265662005777,MCC,0.1,CV
2000-08-25,89.55265662005779,MCC,0.1,CV
2000-08-26,89.55265662005777,MCC,0.1,CV
2000-08-27,89.55265662005777,MCC,0.1,CV
2000-08-28,89.55265662005779,MCC,0.1,CV
2000-08-29,89.55265662005779,MCC,0.1,CV
2000-08-30,89.55265662005779,MCC,0.1,CV
2000-08-31,89.55265662005779,MCC,0.1,CV
2000-09-01,89.55265662005777,MCC,0.1,CV
2000-09-02,89.55265662005777,MCC,0.1,CV
2000-09-03,89.55265662005779,MCC,0.1,CV
2000-09-04,89.55265662005779,MCC,0.1,CV
2000-09-05,92.29808768348651,MCC,0.1,CV
2000-09-06,90.84530363686405,MCC,0.1,CV
2000-09-07,90.84530363686406,MCC,0.1,CV
2000-09-08,90.46718836034364,MCC,0.1,CV
2000-09-09,90.41317189226929,MCC,0.1,CV
2000-09-10,90.41317189226929,MCC,0.1,CV
2000-09-11,90.41317189226929,MCC,0.1,CV
2000-09-12,90.41317189226929,MCC,0.1,CV
2000-09-13,90.41317189226929,MCC,0.1,CV
2000-09-14,90.41317189226929,MCC,0.1,CV
2000-09-15,90.41317189226929,MCC,0.1,CV
2000-09-16,90.41317189226929,MCC,0.1,CV
2000-09-17,90.41317189226929,MCC,0.1,CV
2000-09-18,90.41317189226929,MCC,0.1,CV
2000-09-19,90.41317189226929,MCC,0.1,CV
2000-09-20,90.41317189226929,MCC,0.1,CV
2000-09-21,90.41317189226929,MCC,0.1,CV
2000-09-22,90.41317189226929,MCC,0.1,CV
2000-09-23,90.30545141384395,MCC,0.1,CV
2000-09-24,89.98228997856795,MCC,0.1,CV
2000-09-25,89.98228997856795,MCC,0.1,CV
2000-09-26,89.98228997856795,MCC,0.1,CV
2000-09-27,89.98228997856795,MCC,0.1,CV
2000-09-28,89.98228997856795,MCC,0.1,CV
2000-09-29,89.98228997856795,MCC,0.1,CV
2000-09-30,89.98228997856795,MCC,0.1,CV
2000-10-01,89.98228997856795,MCC,0.1,CV
2000-10-02,89.98228997856795,MCC,0.1,CV
2000-10-03,89.98228997856795,MCC,0.1,CV
2000-10-04,89.98228997856795,MCC,0.1,CV
2000-10-05,89.98228997856795,MCC,0.1,CV
2000-10-06,89.98228997856795,MCC,0.1,CV
2000-10-07,89.98228997856795,MCC,0.1,CV
2000-10-08,89.98228997856795,MCC,0.1,CV
2000-10-09,89.98228997856795,MCC,0.1,CV
2000-10-10,89.98228997856795,MCC,0.1,CV
2000-10-11,89.98228997856795,MCC,0.1,CV
2000-10-12,92.79334387096488,MCC,0.1,CV
2000-10-13,94.42106204442474,MCC,0.1,CV
2000-10-14,90.89947649312647,MCC,0.1,CV
2000-10-15,90.84530363686405,MCC,0.1,CV
2000-10-16,90.61984359620591,MCC,0.1,CV
2000-10-17,90.41317189226929,MCC,0.1,CV
2000-10-18,90.41317189226929,MCC,0.1,CV
2000-10-19,90.41317189226929,MCC,0.1,CV
2000-10-20,90.41317189226929,MCC,0.1,CV
2000-10-21,90.41317189226929,MCC,0.1,CV
2000-10-22,90.41317189226929,MCC,0.1,CV
2000-10-23,90.41317189226929,MCC,0.1,CV
2000-10-24,90.41317189226929,MCC,0.1,CV
2000-10-25,90.41317189226929,MCC,0.1,CV
2000-10-26,90.41317189226929,MCC,0.1,CV
2000-10-27,91.22942545183867,MCC,0.1,CV
2000-10-28,105.76048246339788,MCC,0.1,CV
2000-10-29,114.10464159579632,MCC,0.1,CV
2000-10-30,154.26053730487217,MCC,0.1,CV
2000-10-31,142.62783115794812,MCC,0.1,CV
2000-11-01,120.17306626225447,MCC,0.1,CV
2000-11-02,109.30332515958008,MCC,0.1,CV
2000-11-03,102.46651636721181,MCC,0.1,CV
2000-11-04,98.74493358612392,MCC,0.1,CV
2000-11-05,96.48589933021101,MCC,0.1,CV
2000-11-06,93.84863902973474,MCC,0.1,CV
2000-11-07,92.45890646547316,MCC,0.1,CV
2000-11-08,91.77017678747096,MCC,0.1,CV
2000-11-09,91.44876114183889,MCC,0.1,CV
2000-11-10,91.02587982440546,MCC,0.1,CV
2000-11-11,91.13511327473412,MCC,0.1,CV
2000-11-12,97.53369216940062,MCC,0.1,CV
2000-11-13,98.88144226886486,MCC,0.1,CV
2000-11-14,95.8185441359258,MCC,0.1,CV
2000-11-15,95.52676260931757,MCC,0.1,CV
2000-11-16,96.12883425642985,MCC,0.1,CV
2000-11-17,95.70132517417456,MCC,0.1,CV
2000-11-18,94.60638649857854,MCC,0.1,CV
2000-11-19,93.97933907507337,MCC,0.1,CV
2000-11-20,92.78744491460492,MCC,0.1,CV
2000-11-21,92.68220508361182,MCC,0.1,CV
2000-11-22,93.46441185538366,MCC,0.1,CV
2000-11-23,93.46441185538367,MCC,0.1,CV
2000-11-24,94.64360238264271,MCC,0.1,CV
2000-11-25,94.75114561732265,MCC,0.1,CV
2000-11-26,93.59860373905606,MCC,0.1,CV
2000-11-27,93.53789788691854,MCC,0.1,CV
2000-11-28,93.79101882267065,MCC,0.1,CV
2000-11-29,94.12846537419493,MCC,0.1,CV
2000-11-30,95.83875983315886,MCC,0.1,CV
2000-12-01,109.53275675027189,MCC,0.1,CV
2000-12-02,112.09403819299249,MCC,0.1,CV
2000-12-03,104.4656683674191,MCC,0.1,CV
2000-12-04,101.07583166852241,MCC,0.1,CV
2000-12-05,98.36695555746824,MCC,0.1,CV
2000-12-06,95.38561354174095,MCC,0.1,CV
2000-12-07,95.06162862484497,MCC,0.1,CV
2000-12-08,94.92080365785017,MCC,0.1,CV
2000-12-09,94.34750423127153,MCC,0.1,CV
2000-12-10,93.06139251815652,MCC,0.1,CV
