"SIMULATED EQUIVALENT"   "OBSERVED VALUE"    "OBSERVATION NAME"
   7.12002639771E+01   3.48720016479E+01  N5056.00013 
   7.30766754150E+01   3.20365982056E+01  N5056.00014 
   7.03023757935E+01   3.37439002991E+01  N5056.00015 
   6.41055068970E+01   3.48110008240E+01  N5056.00016 
   2.44510707855E+01  -1.09759998322E+00  N8437.00001 
   2.90391693115E+01  -1.31099998951E+00  N8437.00002 
   2.97675361633E+01  -1.12800002098E+00  N8437.00003 
   2.84850959778E+01  -9.75600004196E-01  N8437.00004 
   3.14749774933E+01  -5.79299986362E-01  N8437.00005 
   2.88111228943E+01  -1.03659999371E+00  N8437.00006 
   2.35535984039E+01  -1.61590003967E+00  N8437.00007 
   1.95584220886E+01  -2.34759998322E+00  N8437.00008 
   1.80630054474E+01  -2.10369992256E+00  N8437.00009 
   1.63196697235E+01  -2.01220011711E+00  N8437.00010 
   1.50689325333E+01  -1.92069995403E+00  N8437.00011 
   1.70689086914E+01  -1.34150004387E+00  N8437.00012 
   2.68015727997E+01  -7.01200008392E-01  N8437.00013 
   2.96784667969E+01  -3.96299988031E-01  N8437.00014 
   3.08343200684E+01   0.00000000000E+00  N8437.00015 
   2.70790843964E+01  -1.82899996638E-01  N8437.00016 
   2.86882495880E+01  -3.04899990559E-01  N8437.00017 
   2.61384315491E+01  -9.45100009441E-01  N8437.00018 
   2.19592609406E+01  -1.58539998531E+00  N8437.00019 
   1.95549926758E+01  -1.58539998531E+00  N8437.00020 
   1.85734729767E+01  -1.34150004387E+00  N8437.00021 
   1.75589618683E+01  -1.49389994144E+00  N8437.00022 
   2.03943557739E+01  -6.70700013638E-01  N8437.00023 
   2.69669933319E+01  -3.92379999161E+00  N183        
   1.56681385040E+01  -1.30183000565E+01  N16614.00001
   1.34045925140E+01  -1.29267997742E+01  N16614.00002
   1.41343212128E+01  -1.28049001694E+01  N16614.00003
   1.07738943100E+01  -1.26524000168E+01  N16614.00004
   4.93104982376E+00  -1.34450998306E+01  N16614.00005
   3.66730004549E-01  -1.38109998703E+01  N16614.00006
  -3.45658898354E+00   9.08539962769E+00  N16614.00007
  -7.38371276855E+00  -1.63719997406E+01  N16614.00008
   3.12375187874E+00  -1.29267997742E+01  N16614.00009
   1.41102819443E+01  -1.26829004288E+01  N16614.00010
   2.12448024750E+01  -1.24694995880E+01  N16614.00011
   1.21617965698E+01  -1.27439002991E+01  N16614.00012
   1.29861698151E+01  -1.28659000397E+01  N16614.00013
   8.24322223663E+00  -1.30792999268E+01  N16614.00014
   1.69323682785E+00  -1.39329004288E+01  N16614.00015
  -1.65009796619E+00  -1.36584997177E+01  N16614.00016
  -3.31194281578E+00  -1.31401996613E+01  N16614.00017
  -3.67492508888E+00  -1.30183000565E+01  N16614.00018
  -6.13990163803E+00  -1.36433000565E+01  N22825.00001
  -8.07215118408E+00  -1.34299001694E+01  N22825.00002
  -7.46162128448E+00  -1.30030002594E+01  N22825.00003
  -9.97431564331E+00  -1.35823001862E+01  N22825.00004
  -1.34751682281E+01  -1.51066999435E+01  N22825.00005
  -1.61234664917E+01  -1.64176998138E+01  N22825.00006
  -1.84024868011E+01  -1.74542999268E+01  N22825.00007
  -1.94388942719E+01  -1.72409000397E+01  N22825.00008
  -2.01527023315E+01  -1.66921005249E+01  N22825.00009
  -1.97959403992E+01  -1.83078994751E+01  N22825.00010
  -1.62964687347E+01  -1.83078994751E+01  N22825.00011
  -1.40978441238E+01  -1.44055004120E+01  N22825.00012
  -6.59510135651E+00  -1.38872003555E+01  N22825.00013
  -2.33867597580E+00  -1.23933000565E+01  N22825.00014
  -8.91711330414E+00  -1.40090999603E+01  N22825.00015
  -8.18604850769E+00   1.77896003723E+01  N22825.00016
  -1.14066505432E+01  -1.51066999435E+01  N22825.00017
  -1.53271675110E+01  -1.65090999603E+01  N22825.00018
  -1.71908588409E+01  -1.64787006378E+01  N22825.00019
  -1.79902534485E+01  -1.48933000565E+01  N22825.00020
  -1.82311058044E+01  -1.45274000168E+01  N22825.00021
  -1.62499771118E+01  -1.39482002258E+01  N22825.00022
   1.71090774536E+01  -6.46339988708E+00  N13407.00001
   1.43648529053E+01  -6.34149980545E+00  N13407.00002
   1.56557607651E+01  -6.12799978256E+00  N13407.00003
   1.24923667908E+01  -5.94509983063E+00  N13407.00004
   6.90366268158E+00  -6.18900012970E+00  N13407.00005
   2.26156306267E+00  -6.95120000839E+00  N13407.00006
  -1.52643036842E+00  -7.37799978256E+00  N13407.00007
  -3.73162007332E+00  -7.68289995193E+00  N13407.00008
  -5.41271114349E+00  -7.19509983063E+00  N13407.00009
  -4.87138557434E+00  -7.04269981384E+00  N13407.00010
   1.65078234673E+00  -6.89020013809E+00  N13407.00011
   5.90473794937E+00  -6.76830005646E+00  N13407.00012
   1.51637668610E+01  -6.52440023422E+00  N13407.00013
   2.02992191315E+01  -6.15850019455E+00  N13407.00014
   1.24368400574E+01  -6.00610017776E+00  N13407.00015
   1.37646245956E+01  -6.18900012970E+00  N13407.00016
   9.45458889008E+00  -6.34149980545E+00  N13407.00017
   3.43128824234E+00  -6.52440023422E+00  N13407.00018
   2.22366735339E-01  -6.76830005646E+00  N13407.00019
  -1.33657884598E+00  -6.55490016937E+00  N13407.00020
  -1.57067751884E+00  -6.43289995193E+00  N13407.00021
   1.59726691246E+00  -6.18900012970E+00  N13407.00022
   1.66042041779E+01  -5.39330005646E+00  N12944.00001
   1.39661350250E+01  -5.24090003967E+00  N12944.00002
   1.52140674591E+01  -4.96649980545E+00  N12944.00003
   1.22069511414E+01  -4.66160011292E+00  N12944.00004
   6.69984292984E+00  -6.24700021744E+00  N12944.00005
   2.05795431137E+00  -8.10669994354E+00  N12944.00006
  -1.74675452709E+00  -1.05761995316E+01  N12944.00007
  -5.78391504288E+00  -6.42990016937E+00  N12944.00008
   1.48935508728E+00  -6.91769981384E+00  N12944.00009
   5.75012826920E+00  -5.75909996033E+00  N12944.00010
   1.46288986206E+01  -5.24090003967E+00  N12944.00011
   1.95536346436E+01  -4.87500000000E+00  N12944.00012
   1.20185070038E+01  -5.63719987869E+00  N12944.00013
   1.32850513458E+01  -8.44209957123E+00  N12944.00014
   9.12413120270E+00  -1.05761995316E+01  N12944.00015
   3.19207024574E+00  -9.35669994354E+00  N12944.00016
  -8.12821963336E-04  -6.42990016937E+00  N12944.00017
  -1.54261374474E+00  -5.91160011292E+00  N12944.00018
  -1.72084045410E+00  -5.66769981384E+00  N12944.00019
   1.40901982784E+00  -4.93599987030E+00  N12944.00020
   1.31771230698E+01  -7.86590003967E+00  N20285.00001
   1.12339735031E+01  -7.83540010452E+00  N20285.00002
   1.16486625671E+01  -8.01830005646E+00  N20285.00003
   8.23994350433E+00  -7.28660011292E+00  N20285.00004
   2.40216112137E+00  -8.50609970093E+00  N20285.00005
  -2.02253961563E+00  -9.42070007324E+00  N20285.00006
  -6.00701141357E+00  -9.96949958801E+00  N20285.00007
  -9.38250160217E+00  -1.30183000565E+01  N20285.00008
  -9.04245281219E+00  -8.26220035553E+00  N20285.00009
  -3.46865606308E+00  -8.26220035553E+00  N20285.00010
   1.20444259644E+01  -7.46950006485E+00  N20285.00011
   2.02412528992E+01  -6.64629983902E+00  N20285.00012
   1.04756956100E+01  -7.46950006485E+00  N20285.00013
   1.09691352844E+01  -7.19509983063E+00  N20285.00014
   6.04599285126E+00  -8.01830005646E+00  N20285.00015
