BEGIN Observation_Data Table
NROW=571 NCOL=3 COLUMNLABELS 
ObsName GroupName ObsValue
N16614.00008 Heads -16.3719997406
N16614.00009 Heads -12.9267997742
N16614.00010 Heads -12.6829004288
N16614.00011 Heads -12.469499588
N16614.00012 Heads -12.7439002991
N16614.00013 Heads -12.8659000397
N16614.00014 Heads -13.0792999268
N16614.00015 Heads -13.9329004288
N16614.00016 Heads -13.6584997177
N16614.00017 Heads -13.1401996613
N16614.00018 Heads -13.0183000565
N22825.00001 Heads -13.6433000565
N22825.00002 Heads -13.4299001694
N22825.00003 Heads -13.0030002594
N22825.00004 Heads -13.5823001862
N22825.00005 Heads -15.1066999435
N22825.00006 Heads -16.4176998138
N22825.00007 Heads -17.4542999268
N22825.00008 Heads -17.2409000397
N22825.00009 Heads -16.6921005249
N22825.00010 Heads -18.3078994751
N22825.00011 Heads -18.3078994751
N22825.00012 Heads -14.405500412
N22825.00013 Heads -13.8872003555
N22825.00014 Heads -12.3933000565
N22825.00015 Heads -14.0090999603
N22825.00016 Heads 17.7896003723
N22825.00017 Heads -15.1066999435
N22825.00018 Heads -16.5090999603
N22825.00019 Heads -16.4787006378
N22825.00020 Heads -14.8933000565
N22825.00021 Heads -14.5274000168
N22825.00022 Heads -13.9482002258
N13407.00001 Heads -6.46339988708
N13407.00002 Heads -6.34149980545
N13407.00003 Heads -6.12799978256
N13407.00004 Heads -5.94509983063
N13407.00005 Heads -6.1890001297
N13407.00006 Heads -6.95120000839
N13407.00007 Heads -7.37799978256
N13407.00008 Heads -7.68289995193
N13407.00009 Heads -7.19509983063
N13407.00010 Heads -7.04269981384
N13407.00011 Heads -6.89020013809
N13407.00012 Heads -6.76830005646
N13407.00013 Heads -6.52440023422
N13407.00014 Heads -6.15850019455
N13407.00015 Heads -6.00610017776
N13407.00016 Heads -6.1890001297
N13407.00017 Heads -6.34149980545
N13407.00018 Heads -6.52440023422
N13407.00019 Heads -6.76830005646
N13407.00020 Heads -6.55490016937
N13407.00021 Heads -6.43289995193
N13407.00022 Heads -6.1890001297
N12944.00001 Heads -5.39330005646
N12944.00002 Heads -5.24090003967
N12944.00003 Heads -4.96649980545
N12944.00004 Heads -4.66160011292
N12944.00005 Heads -6.24700021744
N12944.00006 Heads -8.10669994354
N12944.00007 Heads -10.5761995316
N12944.00008 Heads -6.42990016937
N12944.00009 Heads -6.91769981384
N12944.00010 Heads -5.75909996033
N12944.00011 Heads -5.24090003967
N12944.00012 Heads -4.875
N12944.00013 Heads -5.63719987869
N12944.00014 Heads -8.44209957123
N12944.00015 Heads -10.5761995316
N12944.00016 Heads -9.35669994354
N12944.00017 Heads -6.42990016937
N12944.00018 Heads -5.91160011292
N12944.00019 Heads -5.66769981384
N12944.00020 Heads -4.9359998703
N20285.00001 Heads -7.86590003967
N20285.00002 Heads -7.83540010452
