k,i,j,bhead,cond
2,99,22,-18.2826804033693,37.45771171875
1,99,23,-18.83247124229536,31.6157765625
2,99,23,-18.83247124229536,37.25385644531251
1,99,24,-19.38378007510497,31.54051669921875
2,99,24,-19.38378007510497,37.05000380859375
1,99,25,-19.93657664693359,31.46525419921875
2,99,25,-19.93657664693359,36.84614853515625
1,99,26,-20.491462140115058,31.389994335937505
2,99,26,-20.491462140115058,36.6422958984375
1,99,27,-21.048586597316774,31.3147318359375
2,99,27,-21.048586597316774,36.438440625
1,99,28,-21.60798127827915,31.2394693359375
2,99,28,-21.60798127827915,36.234590625
1,99,29,-22.170086352268076,31.16420947265625
2,99,29,-22.170086352268076,36.03073798828125
1,99,30,-22.735214160321846,31.088946972656256
2,99,30,-22.735214160321846,35.82688271484375
1,99,31,-23.30137570133539,31.013687109375
2,99,31,-23.30137570133539,35.623030078125
1,99,32,-23.869728755373462,30.938424609375
2,99,32,-23.869728755373462,35.41917480468751
1,99,33,-24.439106681938757,30.86316474609375
2,99,33,-24.439106681938757,35.21532216796875
1,99,34,-25.009802655600947,30.787902246093754
2,99,34,-25.009802655600947,35.01146689453125
1,99,35,-25.581356292933037,30.7126423828125
2,99,35,-25.581356292933037,34.8076142578125
1,99,36,-26.154134615893003,30.6373798828125
2,99,36,-26.154134615893003,34.603758984375006
1,99,37,-26.728457688102296,30.5621173828125
2,99,37,-26.728457688102296,34.399908984375
1,99,38,-27.304547512195352,30.486857519531256
2,99,38,-27.304547512195352,34.19605634765625
1,99,39,-27.882365863295885,30.41159501953125
2,99,39,-27.882365863295885,33.99220107421875
1,99,40,-28.46214819651655,30.33633515625
2,99,40,-28.46214819651655,33.788348437500005
1,99,41,-29.043723227276416,30.261072656250004
2,99,41,-29.043723227276416,33.5844931640625
1,99,42,-29.627904270907205,30.18581279296875
2,99,42,-29.627904270907205,33.38064052734376
1,99,43,-30.213960478732414,30.11055029296875
2,99,43,-30.213960478732414,33.17678525390625
1,99,44,-30.801302721018562,30.0352904296875
2,99,44,-30.801302721018562,32.9729326171875
1,99,45,-31.38917021762444,29.960027929687506
2,99,45,-31.38917021762444,32.76907734375
1,99,46,-31.977439198311885,29.8847654296875
2,99,46,-31.977439198311885,32.56522734375
1,99,47,-32.564982102752374,29.80950556640625
2,99,47,-32.564982102752374,32.36137470703125
1,99,48,-33.150060440979495,29.73424306640625
2,99,48,-33.150060440979495,32.15751943359375
1,99,49,-33.73024844133213,29.658983203125008
2,99,49,-33.73024844133213,31.953666796875005
1,99,50,-34.30368449806913,29.583720703125
2,99,50,-34.30368449806913,31.7498115234375
1,99,51,-34.86815695911266,29.50846083984375
2,99,51,-34.86815695911266,31.545958886718754
1,99,52,-35.42066264063833,29.43319833984375
2,99,52,-35.42066264063833,31.34210361328125
1,99,53,-35.95379490908797,29.357938476562506
2,99,53,-35.95379490908797,31.138250976562507
1,99,54,-36.434526052321054,29.2826759765625
2,99,54,-36.434526052321054,30.934395703125
1,99,55,-36.868559323758085,29.2074134765625
2,99,55,-36.868559323758085,30.730545703125006
1,99,56,-37.269292857401105,29.13215361328125
2,99,56,-37.269292857401105,30.52669306640625
1,99,57,-37.631387640214605,29.056891113281257
2,99,57,-37.631387640214605,30.322837792968755
1,99,58,-37.94886552130316,28.98163125
2,99,58,-37.94886552130316,30.11898515625
1,99,59,-38.209242033120894,28.90636875
