layer,row,column,z,cond,rbot
1.0,69,185,31.507067790311922,1669.1435322844527,30.007067790311922
1.0,68,184,31.130883098602293,2339.7239732637513,29.630883098602293
1.0,68,183,30.68485189819336,2047.2584766057826,29.18485189819336
1.0,67,182,30.616028555733813,2047.2584766057826,29.116028555733813
1.0,67,181,30.51051863167503,2104.726023788795,29.01051863167503
1.0,66,180,30.387450195312496,1722.0485649181048,28.887450195312496
1.0,65,180,30.196632553100585,1913.3872943534498,28.696632553100585
1.0,64,180,29.566842414855962,1913.3872943534498,28.066842414855962
1.0,64,181,29.319472680525347,2708.800657211587,27.819472680525347
1.0,63,182,29.080792149419377,2831.927959812114,27.580792149419377
1.0,62,183,28.660879821777343,1993.7132230883897,27.160879821777343
1.0,61,182,28.430876951429582,1696.7760298280612,26.930876951429582
1.0,60,182,28.2887202539444,1508.2453598471654,26.7887202539444
1.0,59,183,28.00991053263346,1993.7132230883897,26.50991053263346
1.0,58,182,27.911360122680666,1413.9800248567174,26.411360122680666
1.0,57,182,27.826812730962573,2073.8373697898523,26.326812730962573
1.0,57,181,27.681538619995113,1508.2453598471654,26.181538619995113
1.0,56,181,27.48280378445711,2594.6469359111484,25.98280378445711
1.0,55,181,27.188350450642904,1769.0774563030557,25.688350450642904
1.0,54,180,27.07122630032626,2594.6469359111484,25.57122630032626
1.0,54,179,26.985491024198982,2476.708438824278,25.485491024198982
1.0,53,178,26.89632148742675,2594.6469359111484,25.39632148742675
1.0,52,178,26.813821487426747,2476.708438824278,25.313821487426747
1.0,51,177,26.729821487426744,2476.708438824278,25.229821487426744
1.0,51,176,26.666821487426745,1111.8938723287226,25.166821487426745
1.0,51,175,26.596321487426735,1806.8275425341742,25.096321487426735
1.0,50,174,26.513821487426736,903.4137712670871,25.013821487426736
1.0,50,173,26.458321487426733,1667.8408084930836,24.958321487426733
1.0,49,172,26.375821487426727,903.4137712670871,24.875821487426727
1.0,49,171,26.318821487426735,1737.334175513629,24.818821487426735
