k,i,j,bhead,cond
2,0,14,-6.477562452267574,39.0885380859375
0,0,15,-6.662853393980601,4.533184066772461
1,0,15,-6.662853393980601,32.21786865234375
2,0,15,-6.662853393980601,38.88468544921875
0,0,16,-6.851406069602073,4.079868461608887
1,0,16,-6.851406069602073,32.14260615234375
2,0,16,-6.851406069602073,38.68083017578125
0,0,17,-7.043697975958751,3.7463039909362794
1,0,17,-7.043697975958751,32.06734365234375
2,0,17,-7.043697975958751,38.47698017578126
0,0,18,-7.239026826582491,4.2329848205566405
1,0,18,-7.239026826582491,31.992083789062505
2,0,18,-7.239026826582491,38.273122265625
0,0,19,-7.4369912522053765,4.299705258178712
1,0,19,-7.4369912522053765,31.9168212890625
2,0,19,-7.4369912522053765,38.069272265625
0,0,20,-7.638096012680048,4.312598483276367
1,0,20,-7.638096012680048,31.84156142578125
2,0,20,-7.638096012680048,37.86541962890625
0,0,21,-7.841367722988008,4.321778219604492
1,0,21,-7.841367722988008,31.76629892578125
2,0,21,-7.841367722988008,37.661564355468755
0,0,22,-8.046827499696994,4.4821811920166015
1,0,22,-8.046827499696994,31.691039062500007
2,0,22,-8.046827499696994,37.45771171875
0,0,23,-8.25361731389309,4.533696084594727
1,0,23,-8.25361731389309,31.6157765625
2,0,23,-8.25361731389309,37.25385644531251
0,0,24,-8.461740277449609,4.463499627685547
1,0,24,-8.461740277449609,31.54051669921875
2,0,24,-8.461740277449609,37.05000380859375
0,0,25,-8.670901716057903,4.494503402709961
1,0,25,-8.670901716057903,31.46525419921875
2,0,25,-8.670901716057903,36.84614853515625
0,0,26,-8.880677622891335,4.551826080322265
1,0,26,-8.880677622891335,31.389994335937505
2,0,26,-8.880677622891335,36.6422958984375
0,0,27,-9.092069552379904,4.574577255249024
1,0,27,-9.092069552379904,31.3147318359375
2,0,27,-9.092069552379904,36.438440625
0,0,28,-9.30466609727082,4.642099255371095
1,0,28,-9.30466609727082,31.2394693359375
2,0,28,-9.30466609727082,36.234590625
0,0,29,-9.519254423682415,4.67665922241211
1,0,29,-9.519254423682415,31.16420947265625
2,0,29,-9.519254423682415,36.03073798828125
0,0,30,-9.736411443726418,4.646372799682617
1,0,30,-9.736411443726418,31.088946972656256
2,0,30,-9.736411443726418,35.82688271484375
0,0,31,-9.956068806334619,4.54655560913086
1,0,31,-9.956068806334619,31.013687109375
2,0,31,-9.956068806334619,35.623030078125
1,0,32,-10.179170228250655,30.938424609375
2,0,32,-10.179170228250655,35.41917480468751
1,0,33,-10.405567842570036,30.86316474609375
2,0,33,-10.405567842570036,35.21532216796875
1,0,34,-10.636157764975133,30.787902246093754
2,0,34,-10.636157764975133,35.01146689453125
1,0,35,-10.870843387418569,30.7126423828125
2,0,35,-10.870843387418569,34.8076142578125
1,0,36,-11.110045469677729,30.6373798828125
2,0,36,-11.110045469677729,34.603758984375006
1,0,37,-11.354039711601295,30.5621173828125
2,0,37,-11.354039711601295,34.399908984375
1,0,38,-11.602303079391275,30.486857519531256
2,0,38,-11.602303079391275,34.19605634765625
1,0,39,-11.854616689447871,30.41159501953125
2,0,39,-11.854616689447871,33.99220107421875
1,0,40,-12.110317050163147,30.33633515625
2,0,40,-12.110317050163147,33.788348437500005
1,0,41,-12.368879121090862,30.261072656250004
2,0,41,-12.368879121090862,33.5844931640625
1,0,42,-12.629061844589096,30.18581279296875
2,0,42,-12.629061844589096,33.38064052734376
1,0,43,-12.890179507454334,30.11055029296875
2,0,43,-12.890179507454334,33.17678525390625
1,0,44,-13.150178562190755,30.0352904296875
2,0,44,-13.150178562190755,32.9729326171875
1,0,45,-13.407815934213945,29.960027929687506
2,0,45,-13.407815934213945,32.76907734375
