k,i,j,bhead,cond
1,84,0,0,3.33467876953125
2,84,0,0,4.1942485546875
0,85,0,0,0.3011611129760743
1,85,0,0,3.33467876953125
2,85,0,0,4.1942485546875
0,86,0,0,0.3011611129760743
1,86,0,0,3.33467876953125
2,86,0,0,4.1942485546875
0,87,0,0,0.3011611129760743
1,87,0,0,3.33467876953125
2,87,0,0,4.1942485546875
0,88,0,0,0.3011611129760743
1,88,0,0,3.33467876953125
2,88,0,0,4.1942485546875
0,89,0,0,0.3011611129760743
1,89,0,0,3.33467876953125
2,89,0,0,4.1942485546875
0,90,0,0,0.3011611129760743
1,90,0,0,3.33467876953125
2,90,0,0,4.1942485546875
0,91,0,0,0.3011611129760743
1,91,0,0,3.33467876953125
2,91,0,0,4.1942485546875
0,92,0,0,0.3011611129760743
1,92,0,0,3.33467876953125
2,92,0,0,4.1942485546875
0,93,0,0,0.3011611129760743
1,93,0,0,3.33467876953125
2,93,0,0,4.1942485546875
0,94,0,0,0.3011611129760743
1,94,0,0,3.33467876953125
2,94,0,0,4.1942485546875
0,95,0,0,0.3011611129760743
1,95,0,0,3.33467876953125
2,95,0,0,4.1942485546875
0,96,0,0,0.3011611129760743
1,96,0,0,3.33467876953125
2,96,0,0,4.1942485546875
0,97,0,0,0.3011611129760743
1,97,0,0,3.33467876953125
2,97,0,0,4.1942485546875
0,98,0,0,0.3011611129760743
1,98,0,0,3.33467876953125
2,98,0,0,4.1942485546875
0,99,0,0,0.3011611129760743
1,99,0,0,3.33467876953125
2,99,0,0,4.1942485546875
