,xs_num,dist_from_right_m,Easting,Northing,z_m
107,0,1820.0,672829.4263019151,4262842.912898229,
108,0,1830.0,672825.5180299084,4262852.117538902,
109,0,1840.0,672821.6097579018,4262861.322179575,
110,0,1850.0,672817.7014858951,4262870.526820248,
111,0,1860.0,672813.7932138884,4262879.7314609215,
112,0,1870.0,672809.8849418818,4262888.936101595,
113,0,1880.0,672805.9766698751,4262898.1407422675,
114,0,1890.0,672802.0683978683,4262907.345382941,
115,0,1900.0,672798.1601258616,4262916.550023614,
116,0,1910.0,672794.251853855,4262925.754664287,
117,0,1920.0,672790.3435818483,4262934.95930496,
118,0,1930.0,672786.4353098416,4262944.163945634,
119,0,1940.0,672782.527037835,4262953.368586306,
120,0,1950.0,672778.6187658283,4262962.57322698,
121,0,1960.0,672774.7104938217,4262971.777867653,
122,0,1970.0,672770.802221815,4262980.982508326,
