dist_from_right_m,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
100.0,,,,25.295643,14.64688,28.390955,27.454082,13.895024,15.002408,15.075256,17.059101,14.79576,13.50258,14.1859,11.490086,12.914,12.949058,13.640583,12.963452,9.731308,10.958551,10.9161005,11.437691,10.003697,9.503813,9.485432,8.483985,8.241679,8.512691,7.793815,7.761059,7.8238945,6.835482,7.201205,6.9149365,6.713525,6.2868047,6.059209,4.671798,4.555334,4.900986,4.3259683,3.529584,3.7700002,3.3487577,2.9619157,3.031964,3.023055,2.751728,1.6093439,2.0820014,2.280076,2.4600146,2.313147,2.2333512,2.019323,1.6698533,1.3733271,1.083432,,,0.81691015
110.0,,,,25.456413,14.349501,28.450373,27.490788,13.730611,14.965407,15.176302,16.801622,14.590698,13.50258,14.246943,11.494349,12.740426,12.881346,13.761939,13.009862,9.562914,10.767332,11.040313,11.52058,10.047903,9.46372,9.380402,8.527849,8.207712,8.569643,7.7676373,7.761059,7.8440833,6.8370337,7.201205,6.926234,6.713525,6.2868047,6.0749164,4.8225455,4.4500737,4.896975,4.3259683,3.529584,3.7400413,3.3490613,2.9705749,3.011708,3.0445223,2.729866,1.6093439,2.0647054,2.2825108,2.432675,2.30576,2.1944804,2.0166771,1.6839339,1.3753328,1.0793526,,,0.8250296
120.0,,,,25.932783,14.313142,28.209047,27.784843,14.083168,14.958401,15.26563,16.67937,14.46942,13.50649,14.241295,11.440563,12.76322,12.857215,13.8522,13.009862,9.562914,10.735253,10.922897,11.578976,10.080429,9.276482,9.312587,8.561133,8.159843,8.572712,7.7403893,7.7097607,7.8279243,6.8295636,7.201205,6.928774,6.713525,6.2868047,6.074672,4.843201,4.3829923,4.879776,4.3767715,3.529584,3.6798577,3.34765,2.9830177,3.0219617,3.0459785,2.698946,1.612187,1.9668946,2.2971318,2.3223026,2.3205323,2.2087953,1.9948331,1.6839981,1.3753507,1.0762744,,,0.830786
130.0,,,,25.932783,14.764059,28.195307,27.51262,14.083168,14.786448,15.266773,16.516365,14.318541,14.102025,14.290689,11.470151,12.76322,12.604028,13.93116,12.9009,9.523965,10.570854,10.835806,11.64677,10.03485,9.22505,9.115532,8.608995,8.2126,8.57062,7.7130785,7.6948113,7.8171687,6.8078957,7.201205,6.9084744,6.713525,6.2868047,6.044472,4.8667216,4.383024,4.8706226,4.4684367,3.529584,3.6498373,3.3473263,2.9804215,3.1252072,3.016197,2.619767,1.6381108,2.0131192,2.2013717,2.271939,2.2332172,2.154022,1.9928243,1.6846161,1.3786154,1.0723822,,,0.8189824
140.0,,,,26.039818,15.048511,28.226149,27.60783,14.013313,14.848493,15.395636,16.34052,14.40276,14.185796,14.256073,11.478896,12.763289,12.600952,14.000135,12.840068,9.550449,10.285383,10.816507,11.738077,10.07121,9.135582,9.115532,8.636608,8.16909,8.570786,7.680017,7.6616836,7.8443685,6.803386,7.22971,6.8936725,6.713525,6.2868047,6.0448303,4.8768272,4.383024,4.870645,4.599477,3.529584,3.6537268,3.3492901,2.982841,3.2854657,3.0108814,2.5917394,1.7799369,2.0467143,2.2100117,2.2227378,2.2048812,2.1568959,1.98876,1.6853291,1.3780503,1.0678346,,,0.8229955
150.0,,,,26.009346,15.048511,28.329597,27.361849,13.936646,14.4206505,15.539317,15.856683,14.533327,14.076062,14.329051,11.468355,12.702424,12.600952,14.000135,12.75466,9.540122,10.285383,10.632854,11.927667,10.131153,9.099844,9.054987,8.661696,8.201603,8.570677,7.66106,7.661967,7.8443685,6.807288,7.2571564,6.8976464,6.713525,6.2868047,6.045199,4.883885,4.383024,4.870573,4.663776,3.529584,3.620222,3.3495982,2.9781392,3.4122183,3.0038428,2.5355618,1.8362314,2.0750573,2.2314343,2.1744196,2.1654105,2.1465137,1.9752256,1.6538581,1.376778,1.0673493,0.7174621,,0.81196195
160.0,,,24.853773,25.760958,14.919183,28.209204,27.663565,14.828957,14.112965,15.661042,15.662302,14.62569,14.039644,14.217172,11.430123,12.588605,12.549751,14.0314,12.461216,9.651103,10.15893,10.482275,12.046099,10.121762,9.074012,9.076277,8.661696,8.180753,8.572527,7.656738,7.6319876,7.8438835,6.7941837,7.257863,6.899068,6.713525,6.2868047,6.0428777,4.8883786,4.383024,4.873289,4.6564918,3.529584,3.5683608,3.3489885,2.9871323,3.4346554,2.9764287,2.5114017,1.9717375,2.125893,2.2232258,2.1692047,2.1471593,2.1272473,1.989263,1.6575034,1.3826506,1.0673493,0.71820426,,0.8118613
170.0,,,24.355549,25.590853,14.414218,28.767235,27.783884,15.214532,14.13903,15.789511,15.433773,14.62569,13.939284,14.22136,11.290241,12.58444,12.490596,14.083617,12.470923,9.649839,10.053606,10.550266,12.1882515,10.28355,9.081115,9.091582,8.652314,8.173345,8.522579,7.659472,7.6462293,7.8743124,6.780653,7.2614336,6.8945775,6.713525,6.2868047,6.0428514,4.905957,4.383024,4.873493,4.661298,3.529584,3.5683608,3.3459165,3.0007818,3.3792055,2.9401965,2.4640493,2.0357106,2.1500514,2.501343,2.1680043,2.10358,2.1270792,1.9917282,1.6251851,1.3847053,1.0672446,0.7146479,,0.81478596
180.0,,,23.795874,25.665775,14.056935,28.767235,28.137756,15.069924,14.047142,15.952522,15.661438,14.632896,13.8719225,14.099732,11.254136,12.577974,12.470178,14.065841,12.470913,9.667253,10.037814,10.5021925,12.28139,10.254032,9.067902,9.147186,8.640066,8.151494,8.472968,7.6870112,7.639291,7.8735404,6.780653,7.2394843,6.896554,6.7065396,6.2868047,6.042818,4.905957,4.383024,4.8712616,4.6336484,3.529584,3.5815585,3.3482497,3.0134373,3.3786871,2.8676465,2.4569588,2.113752,2.2271883,2.603968,2.151905,2.1130748,2.0935874,1.9918689,1.6242912,1.3847053,1.0670906,0.7108489,,0.8173258
190.0,,,23.525084,25.797838,14.056935,28.40359,27.631596,15.037519,14.045137,16.134556,15.816084,14.765579,13.790451,14.146107,11.176825,12.57727,12.532029,13.970979,12.82474,9.609454,9.962795,10.429926,12.323448,10.394115,9.049559,9.177084,8.616296,8.12329,8.444426,7.7304363,7.654909,7.8607516,6.7814813,7.259436,6.890058,6.6909423,6.2868047,6.0429654,4.962778,4.383024,4.8751435,4.6649084,3.529584,3.5743735,3.3409715,3.0285993,3.4299936,2.7960982,2.420385,2.1512265,2.2383444,2.6549919,2.1324267,2.1049292,2.096339,1.9912165,1.6249558,1.3813449,1.0625234,0.7039474,,0.8157008
